browser,city,datetime,ip,method,module
chrome,华市,2019-05-24 19:32:02,169.255.140.124,option,任务列表
chrome,伟县,2019-05-26 13:51:19,192.88.104.231,option,主页
ie,北京县,2019-05-22 08:20:51,199.190.135.236,option,任务详情
safari,北京县,2019-05-27 07:31:26,200.65.59.250,option,任务详情
safari,华县,2019-05-24 22:43:04,203.23.202.51,delete,项目详情
firefox,伟县,2019-05-22 11:48:48,192.49.28.87,post,任务详情
firefox,倩市,2019-05-27 13:57:52,203.23.202.51,post,个人信息
chrome,龙县,2019-05-21 12:06:43,212.5.96.172,put,项目详情
chrome,天津市,2019-05-26 11:07:18,192.141.156.158,put,个人信息
ie,巢湖县,2019-05-28 15:27:40,192.175.38.219,option,任务列表
firefox,颖市,2019-05-24 08:56:29,203.0.59.155,delete,任务详情
firefox,华市,2019-05-27 13:32:47,192.56.204.58,option,项目详情
ie,乌鲁木齐县,2019-05-20 09:59:36,203.0.112.147,post,任务列表
chrome,伟县,2019-05-28 01:26:53,192.168.121.59,delete,任务列表
ie,汕尾县,2019-05-29 15:26:31,192.52.68.139,get,个人信息
safari,颖市,2019-05-26 08:34:53,198.50.54.119,put,项目列表
chrome,南京市,2019-05-20 19:42:03,200.65.59.250,put,项目详情
safari,宜都市,2019-05-21 05:40:19,192.168.121.59,put,任务列表
ie,潜江县,2019-05-21 10:00:02,203.6.167.148,delete,任务列表
ie,汕尾县,2019-05-24 00:49:30,203.6.167.148,post,项目列表
firefox,刚市,2019-05-24 00:38:22,192.83.9.215,delete,任务列表
firefox,建军县,2019-05-25 10:09:51,169.230.50.203,post,项目详情
safari,乌鲁木齐县,2019-05-20 05:37:14,192.88.127.141,put,任务详情
chrome,巢湖县,2019-05-25 04:08:29,192.0.11.58,get,个人信息
firefox,南京市,2019-05-21 01:01:45,192.175.169.242,post,项目列表
safari,玉英县,2019-05-23 04:00:56,198.51.101.164,option,项目列表
firefox,华市,2019-05-25 01:09:43,192.52.252.250,put,任务详情
ie,利县,2019-05-24 20:04:12,203.0.59.155,delete,任务详情
firefox,颖市,2019-05-28 20:52:28,198.51.98.171,get,个人信息
ie,乌鲁木齐县,2019-05-23 19:41:10,192.167.183.73,delete,个人信息
chrome,潜江县,2019-05-22 07:43:01,192.141.156.158,get,个人信息
chrome,玉英县,2019-05-27 09:03:56,192.31.178.28,option,项目列表
ie,宜都市,2019-05-23 01:20:20,192.88.166.197,put,个人信息
chrome,颖市,2019-05-29 19:17:29,192.91.20.221,option,主页
chrome,刚市,2019-05-25 02:00:42,192.31.216.190,put,项目详情
safari,倩市,2019-05-20 16:38:22,198.50.75.135,option,任务列表
safari,玉英县,2019-05-25 04:23:29,192.52.143.214,post,任务详情
safari,华市,2019-05-22 15:28:23,192.83.9.215,option,个人信息
ie,南京市,2019-05-28 10:57:42,169.169.36.164,post,个人信息
chrome,宜都市,2019-05-27 10:29:02,169.242.249.63,get,主页
chrome,华县,2019-05-27 06:56:23,198.51.101.90,post,个人信息
firefox,伟县,2019-05-25 11:46:25,198.17.139.74,put,项目列表
safari,汕尾县,2019-05-23 23:22:36,4.254.229.140,put,个人信息
firefox,东莞县,2019-05-24 00:09:27,192.1.229.163,delete,任务列表
chrome,天津市,2019-05-26 01:12:23,192.175.169.242,get,任务详情
ie,玉英县,2019-05-29 15:59:32,192.52.192.218,get,主页
firefox,东莞县,2019-05-24 07:47:13,192.56.204.58,post,项目详情
chrome,北京县,2019-05-20 16:59:16,192.88.166.197,put,项目详情
safari,倩市,2019-05-26 10:28:04,198.17.139.74,option,个人信息
ie,天津市,2019-05-27 02:31:08,192.52.192.218,delete,个人信息
firefox,龙县,2019-05-21 03:08:55,169.255.215.157,option,主页
ie,巢湖县,2019-05-21 11:08:12,203.0.59.155,delete,任务详情
chrome,北京县,2019-05-29 03:54:46,192.52.199.237,delete,主页
safari,汕尾县,2019-05-26 15:50:49,192.175.51.205,option,任务详情
safari,伟县,2019-05-21 01:23:34,198.51.98.171,get,主页
ie,伟县,2019-05-22 11:05:54,192.52.192.137,put,项目列表
firefox,南京市,2019-05-29 13:51:12,193.217.128.227,delete,任务详情
ie,南京市,2019-05-22 02:05:56,192.167.94.147,put,项目列表
chrome,刚市,2019-05-21 09:28:04,169.192.168.56,post,主页
firefox,东莞县,2019-05-22 12:42:27,192.52.252.250,put,主页
ie,龙县,2019-05-29 11:35:17,198.50.60.244,get,主页
ie,宜都市,2019-05-27 22:00:55,169.192.168.56,post,项目详情
ie,建军县,2019-05-27 02:06:54,169.255.215.157,post,个人信息
ie,伟县,2019-05-25 13:53:17,192.175.51.205,post,任务列表
ie,宜都市,2019-05-27 10:07:03,192.52.68.139,delete,项目详情
chrome,东莞县,2019-05-21 20:24:46,192.31.178.28,get,主页
safari,刚市,2019-05-29 20:59:02,1.228.115.113,delete,项目列表
firefox,刚市,2019-05-19 21:24:16,192.52.252.250,put,项目列表
safari,龙县,2019-05-21 02:47:16,192.52.198.1,get,任务详情
safari,龙县,2019-05-23 21:12:17,192.88.166.197,put,项目详情
chrome,利县,2019-05-21 09:20:14,192.52.68.139,get,项目详情
ie,利县,2019-05-28 07:09:31,192.56.204.58,option,主页
chrome,伟县,2019-05-20 17:43:03,192.52.152.30,delete,项目详情
ie,玉英县,2019-05-29 03:42:19,192.56.204.58,post,任务列表
chrome,南京市,2019-05-27 02:47:49,192.93.129.42,delete,个人信息
firefox,玉英县,2019-05-24 06:25:43,192.168.121.59,option,项目详情
safari,乌鲁木齐县,2019-05-29 12:36:59,192.91.20.221,get,个人信息
safari,潜江县,2019-05-20 18:26:01,169.230.50.203,put,任务列表
firefox,建军县,2019-05-29 06:38:56,169.242.249.63,put,任务列表
chrome,倩市,2019-05-27 19:46:16,192.1.229.163,option,项目列表
safari,乌鲁木齐县,2019-05-28 14:39:39,192.31.216.190,delete,主页
safari,龙县,2019-05-20 23:56:22,4.248.225.66,delete,任务详情
chrome,东莞县,2019-05-23 13:40:48,192.57.46.44,get,任务详情
firefox,建军县,2019-05-28 09:10:08,203.6.167.148,post,项目列表
firefox,潜江县,2019-05-27 16:29:10,192.6.65.180,delete,主页
safari,乌鲁木齐县,2019-05-22 01:33:27,192.175.51.205,put,项目列表
ie,天津市,2019-05-21 21:52:54,192.3.52.74,delete,项目详情
ie,东莞县,2019-05-20 11:39:27,192.57.46.44,get,任务详情
chrome,南京市,2019-05-27 20:30:52,199.190.135.236,option,主页
firefox,天津市,2019-05-29 02:47:17,169.255.215.157,delete,项目列表
chrome,玉英县,2019-05-22 23:45:50,203.0.59.155,option,个人信息
firefox,利县,2019-05-21 22:25:55,169.253.193.81,put,任务详情
ie,宜都市,2019-05-27 14:43:32,198.50.75.135,post,项目详情
firefox,玉英县,2019-05-26 08:46:15,57.126.171.51,get,主页
ie,华县,2019-05-27 20:55:20,192.53.2.210,post,任务详情
safari,乌鲁木齐县,2019-05-24 15:33:26,192.175.169.242,put,主页
safari,宜都市,2019-05-27 08:24:40,192.174.87.217,get,主页
ie,华市,2019-05-24 01:36:21,192.0.1.59,delete,主页
firefox,伟县,2019-05-24 06:53:34,175.83.83.87,option,个人信息
chrome,利县,2019-05-29 16:58:51,4.254.229.140,delete,任务列表
chrome,潜江县,2019-05-22 11:33:42,192.174.87.217,get,任务列表
firefox,潜江县,2019-05-22 05:59:36,192.91.130.219,get,项目详情
ie,宜都市,2019-05-28 11:13:09,192.0.86.164,post,项目列表
ie,华市,2019-05-20 16:57:49,192.0.1.59,put,项目列表
chrome,建军县,2019-05-23 06:17:14,198.51.208.103,get,主页
firefox,利县,2019-05-24 22:35:44,192.31.197.204,post,个人信息
ie,东莞县,2019-05-29 10:36:27,192.52.192.137,get,项目详情
safari,华县,2019-05-26 12:32:27,169.242.249.63,get,任务列表
firefox,玉英县,2019-05-21 05:26:51,192.3.52.74,post,项目详情
safari,倩市,2019-05-20 13:38:14,198.51.108.180,post,项目列表
chrome,龙县,2019-05-27 22:37:40,169.169.36.164,option,项目详情
safari,龙县,2019-05-21 15:04:36,192.0.3.183,post,任务列表
chrome,华县,2019-05-29 19:49:04,198.51.98.171,delete,主页
chrome,南京市,2019-05-21 01:12:45,203.0.59.155,get,任务列表
chrome,倩市,2019-05-24 08:30:45,192.54.169.39,post,个人信息
safari,汕尾县,2019-05-27 18:55:48,192.56.204.58,get,主页
chrome,伟县,2019-05-24 20:17:01,198.51.101.90,option,主页
chrome,华县,2019-05-26 16:42:05,192.94.13.134,option,个人信息
chrome,乌鲁木齐县,2019-05-27 23:49:25,198.50.60.244,get,个人信息
chrome,潜江县,2019-05-28 07:23:17,192.88.166.197,put,主页
firefox,华市,2019-05-23 09:50:15,175.83.83.87,delete,主页
safari,巢湖县,2019-05-29 16:28:49,192.53.2.210,get,任务详情
safari,颖市,2019-05-26 09:53:07,192.0.86.164,delete,主页
chrome,华市,2019-05-23 19:33:09,192.88.166.197,post,任务详情
firefox,颖市,2019-05-29 09:04:23,192.93.129.42,post,任务列表
firefox,东莞县,2019-05-21 23:45:33,192.0.1.59,option,项目详情
firefox,天津市,2019-05-24 11:16:38,192.174.91.31,option,项目详情
ie,刚市,2019-05-21 18:42:57,198.51.208.103,get,项目详情
chrome,利县,2019-05-28 11:59:09,200.65.59.250,post,任务列表
safari,刚市,2019-05-28 02:41:30,212.5.96.172,post,任务详情
chrome,潜江县,2019-05-27 19:03:20,192.175.38.219,post,项目列表
chrome,巢湖县,2019-05-28 22:39:55,192.175.58.238,put,项目详情
ie,华市,2019-05-28 20:46:44,192.0.53.46,delete,任务详情
firefox,潜江县,2019-05-20 23:55:02,203.0.112.147,option,主页
ie,东莞县,2019-05-22 13:03:09,192.175.75.191,delete,任务列表
firefox,北京县,2019-05-25 10:22:58,192.52.199.237,option,任务列表
ie,刚市,2019-05-20 19:28:39,192.1.229.163,delete,主页
chrome,想县,2019-05-26 20:05:50,216.111.3.86,get,任务详情
chrome,汕尾县,2019-05-24 19:15:14,192.93.129.42,delete,项目详情
chrome,汕尾县,2019-05-21 14:49:18,192.168.121.59,option,任务列表
ie,华县,2019-05-26 11:55:04,192.167.94.147,put,项目列表
safari,东莞县,2019-05-26 12:50:37,192.52.199.237,option,任务列表
ie,利县,2019-05-24 23:29:56,192.167.183.73,put,任务列表
safari,汕尾县,2019-05-29 05:44:02,202.112.176.9,put,个人信息
ie,东莞县,2019-05-28 06:30:12,192.52.252.250,option,个人信息
safari,想县,2019-05-22 00:33:17,192.175.58.238,get,任务列表
ie,北京县,2019-05-24 06:43:55,202.112.176.9,post,项目详情
chrome,天津市,2019-05-25 07:38:07,192.52.192.218,option,主页
chrome,汕尾县,2019-05-22 22:37:34,192.175.13.165,get,主页
ie,龙县,2019-05-27 05:04:26,192.53.2.210,delete,任务详情
safari,潜江县,2019-05-27 23:10:18,192.52.201.75,get,任务列表
firefox,颖市,2019-05-23 19:22:06,192.88.96.161,put,任务详情
ie,颖市,2019-05-25 05:22:38,192.175.58.238,delete,项目列表
ie,东莞县,2019-05-29 00:39:12,1.228.115.113,delete,项目列表
firefox,华县,2019-05-21 05:28:50,206.107.49.25,put,主页
firefox,利县,2019-05-24 22:42:57,192.52.199.237,delete,项目列表
safari,颖市,2019-05-28 09:23:53,192.31.178.28,option,任务详情
chrome,倩市,2019-05-25 14:08:01,192.52.198.1,get,任务详情
safari,北京县,2019-05-20 08:10:02,169.192.168.56,delete,项目列表
ie,华县,2019-05-23 13:40:15,200.238.69.190,get,个人信息
safari,玉英县,2019-05-28 04:19:13,192.53.2.210,option,主页
chrome,南京市,2019-05-21 18:47:22,203.0.59.155,put,项目列表
ie,龙县,2019-05-21 22:18:11,192.197.89.19,post,个人信息
firefox,华县,2019-05-25 00:40:08,192.93.129.42,put,任务详情
ie,宜都市,2019-05-24 13:33:13,192.31.211.99,put,任务列表
ie,伟县,2019-05-24 00:40:22,192.0.3.183,get,任务详情
firefox,华市,2019-05-21 11:33:42,192.52.172.81,get,任务列表
safari,想县,2019-05-27 10:09:55,169.169.36.164,put,主页
ie,乌鲁木齐县,2019-05-21 19:07:28,197.106.201.98,post,项目详情
firefox,天津市,2019-05-22 23:21:21,198.50.75.135,delete,个人信息
safari,玉英县,2019-05-27 21:45:45,198.51.208.103,put,项目详情
ie,想县,2019-05-26 08:18:29,203.6.167.148,option,任务详情
safari,宜都市,2019-05-23 22:45:59,169.242.249.63,get,任务列表
ie,巢湖县,2019-05-19 23:57:01,192.88.156.255,put,任务列表
safari,宜都市,2019-05-23 21:23:33,197.154.176.98,delete,任务列表
firefox,想县,2019-05-28 19:56:45,198.50.54.119,delete,个人信息
firefox,建军县,2019-05-20 13:36:50,203.6.167.148,put,任务列表
chrome,华市,2019-05-26 17:43:53,192.3.52.74,option,个人信息
ie,巢湖县,2019-05-21 06:07:30,203.0.59.155,post,项目列表
safari,倩市,2019-05-20 04:00:26,192.167.94.147,get,任务列表
safari,巢湖县,2019-05-29 03:34:36,192.167.94.147,delete,主页
ie,刚市,2019-05-25 11:02:52,192.0.86.164,put,任务详情
firefox,玉英县,2019-05-23 00:24:03,192.93.129.42,option,任务详情
firefox,华市,2019-05-23 13:22:43,1.228.115.113,post,项目列表
ie,龙县,2019-05-25 20:09:19,192.175.38.219,post,项目列表
safari,华市,2019-05-22 22:40:36,192.52.172.81,option,任务列表
firefox,潜江县,2019-05-20 03:57:59,192.88.96.161,post,项目列表
firefox,汕尾县,2019-05-24 10:22:07,192.174.91.31,get,个人信息
chrome,建军县,2019-05-26 21:52:20,192.175.58.238,post,任务详情
firefox,汕尾县,2019-05-25 22:40:56,192.174.91.31,get,任务详情
firefox,龙县,2019-05-27 13:05:09,197.154.176.98,post,任务列表
firefox,北京县,2019-05-22 03:16:51,169.255.215.157,option,任务列表
safari,南京市,2019-05-28 03:59:41,192.52.192.137,option,项目列表
safari,伟县,2019-05-29 09:33:49,198.50.54.119,delete,主页
safari,伟县,2019-05-29 06:03:44,203.0.112.147,get,项目详情
ie,倩市,2019-05-22 06:06:53,198.17.139.74,delete,主页
